feature,corr,abs_corr,variance,nunique
90-100,0.9086011891963583,0.9086011891963583,0.09092446105131255,288
100-110,0.8992943508731298,0.8992943508731298,0.11826371982464595,340
60-70,0.8894006291599827,0.8894006291599827,0.051511223360927144,205
110-120,0.8792953963754232,0.8792953963754232,0.13760703046226969,339
пропан,0.8703516741594242,0.8703516741594242,28.65940161509169,321
н-бутан,0.8455664454113367,0.8455664454113367,25.27144527656412,277
140-150,0.8373360941708244,0.8373360941708244,0.04307208836264232,174
520-540,0.8371402136934336,0.8371402136934336,0.042851319034338586,173
340-350,0.8370168981508714,0.8370168981508714,0.042836682625976834,173
500-520,0.8370081961421804,0.8370081961421804,0.043019784018187804,173
390-400,0.8368814665127927,0.8368814665127927,0.04289767917395672,173
230-240,0.8368386645248757,0.8368386645248757,0.043018427973263676,173
160-170,0.8368312864891709,0.8368312864891709,0.04296823688136356,173
480-500,0.8367789412364103,0.8367789412364103,0.042983991043213675,173
350-360,0.8367649730510814,0.8367649730510814,0.04286831383477881,173
380-390,0.8367470093083631,0.8367470093083631,0.042745227348434084,173
240-250,0.8367382955126781,0.8367382955126781,0.042905222568272526,172
120-130,0.8367330201510471,0.8367330201510471,0.04301932847995743,172
460-480,0.8367115765644594,0.8367115765644594,0.0429233411263821,173
360-370,0.8366982886842945,0.8366982886842945,0.04286636095085899,173
450-460,0.8366911480700756,0.8366911480700756,0.043085019286375544,173
150-160,0.8366384402755612,0.8366384402755612,0.04294760095576606,173
250-260,0.8366081076695993,0.8366081076695993,0.04286481978748456,173
280-290,0.836599675986664,0.836599675986664,0.04284062539792131,172
310-320,0.8365895588166273,0.8365895588166273,0.04279545144700425,171
80-90,0.8365864455679565,0.8365864455679565,0.04286766177402626,171
330-340,0.8365851159706005,0.8365851159706005,0.04269043546054066,171
70-80,0.8365696183539978,0.8365696183539978,0.042832253434996144,174
180-190,0.8365535088900803,0.8365535088900803,0.042819788246584216,172
400-410,0.8365120178627957,0.8365120178627957,0.04286363777476935,172
370-380,0.8364560681810573,0.8364560681810573,0.04299951312462887,172
270-280,0.8364093461048661,0.8364093461048661,0.04291911016571588,171
300-310,0.8363930739374885,0.8363930739374885,0.042807473547362716,173
200-210,0.8363146731314542,0.8363146731314542,0.04288558153682401,172
260-270,0.8363073808188678,0.8363073808188678,0.042835145943045855,172
430-440,0.8362778292562488,0.8362778292562488,0.042815031726012184,172
210-220,0.8362696064207754,0.8362696064207754,0.042716829506157517,171
540-550,0.8362569152314999,0.8362569152314999,0.04280863650736949,173
170-180,0.8362499582566066,0.8362499582566066,0.0430663185833529,171
130-140,0.8362341522909432,0.8362341522909432,0.042888765890853255,173
290-300,0.8362058603013582,0.8362058603013582,0.0429299901927159,172
440-450,0.8361623044923321,0.8361623044923321,0.04272495015665783,173
410-420,0.8361368777668237,0.8361368777668237,0.04278358567613835,174
190-200,0.8361273019128941,0.8361273019128941,0.04285014989498326,173
420-430,0.8361200818957893,0.8361200818957893,0.04300144881180865,172
220-230,0.8361158451110113,0.8361158451110113,0.04269380356777569,172
320-330,0.8359882620106854,0.8359882620106854,0.0426881606947597,173
и-бутан,0.8213181466898211,0.8213181466898211,23.68784248552072,263
и-пентан,0.8173484851507252,0.8173484851507252,21.810031857908566,233
н-пентан,0.7957343894253692,0.7957343894253692,7.468085211118404,128
Метан+этан из жидкости в Е-301,0.7467627717252214,0.7467627717252214,0.005233289380593142,102
K-301 Темп-ра в хол. зоне,0.552562817170539,0.552562817170539,64.44931452942029,435
40-50,0.400722703418989,0.400722703418989,0.12334864369016887,169
50-60,0.3993281119633481,0.3993281119633481,0.26142964745910735,169
K-301 Температура верха,-0.22068840256587088,0.22068840256587088,34592.40090122451,391
Метан и этан в КГД,-0.08420362573839132,0.08420362573839132,0.06788504485518423,259
Вывод балансового избытка,0.08126447486302739,0.08126447486302739,35.71748679706599,115
Давление в Е-301,0.07509570087795435,0.07509570087795435,1019051.5145152619,100
K-301 Темп-ра в гор. зоне,0.074096987176529,0.074096987176529,789.2111951851977,120
Масса КГД из куба колонны,0.03826869939938229,0.03826869939938229,9074.681854776054,298
K-301 Масса рефлюксной жидкости,0.03342699125314906,0.03342699125314906,6.890863734363028,345
метан,-0.026227293204153495,0.026227293204153495,4.251723437868705,33
Масса циркулирующей жидкости,0.005092436075942323,0.005092436075942323,1454.8566700467209,428
этан,-0.001850806037163644,0.001850806037163644,2.0637643848172478,32
