feature,corr,abs_corr,variance,nunique
Масса КГД из куба колонны,-0.8369701087991731,0.8369701087991731,9074.681854776054,298
Вывод балансового избытка,0.7081912431682812,0.7081912431682812,35.71748679706599,115
520-540,0.2833440412168545,0.2833440412168545,0.042851319034338586,173
140-150,0.28318148194361803,0.28318148194361803,0.04307208836264232,174
340-350,0.2831629619001534,0.2831629619001534,0.042836682625976834,173
500-520,0.283146882850054,0.283146882850054,0.043019784018187804,173
390-400,0.282958732699803,0.282958732699803,0.04289767917395672,173
160-170,0.28290744039613436,0.28290744039613436,0.04296823688136356,173
230-240,0.282906263527475,0.282906263527475,0.043018427973263676,173
480-500,0.2828025778427022,0.2828025778427022,0.042983991043213675,173
380-390,0.2827833113516263,0.2827833113516263,0.042745227348434084,173
350-360,0.28276878890614193,0.28276878890614193,0.04286831383477881,173
120-130,0.2827465711912498,0.2827465711912498,0.04301932847995743,172
240-250,0.28273922024857256,0.28273922024857256,0.042905222568272526,172
460-480,0.28270595838517437,0.28270595838517437,0.0429233411263821,173
360-370,0.28269091256909895,0.28269091256909895,0.04286636095085899,173
450-460,0.2826791620502091,0.2826791620502091,0.043085019286375544,173
250-260,0.2826000630717808,0.2826000630717808,0.04286481978748456,173
150-160,0.28258681751591797,0.28258681751591797,0.04294760095576606,173
280-290,0.28254693436134726,0.28254693436134726,0.04284062539792131,172
310-320,0.2825381764236283,0.2825381764236283,0.04279545144700425,171
330-340,0.28253054632025054,0.28253054632025054,0.04269043546054066,171
70-80,0.28252962626046946,0.28252962626046946,0.042832253434996144,174
80-90,0.28252317050835646,0.28252317050835646,0.04286766177402626,171
180-190,0.2824805647849279,0.2824805647849279,0.042819788246584216,172
400-410,0.28242304923254286,0.28242304923254286,0.04286363777476935,172
370-380,0.28234608052256566,0.28234608052256566,0.04299951312462887,172
270-280,0.28227535968190964,0.28227535968190964,0.04291911016571588,171
300-310,0.2822387088083703,0.2822387088083703,0.042807473547362716,173
260-270,0.28212616570231563,0.28212616570231563,0.042835145943045855,172
200-210,0.2821145607990543,0.2821145607990543,0.04288558153682401,172
430-440,0.2820713380965081,0.2820713380965081,0.042815031726012184,172
170-180,0.2820521102956844,0.2820521102956844,0.0430663185833529,171
210-220,0.28204990523668516,0.28204990523668516,0.042716829506157517,171
540-550,0.2820463573072863,0.2820463573072863,0.04280863650736949,173
130-140,0.2820111171908046,0.2820111171908046,0.042888765890853255,173
290-300,0.2819748701575168,0.2819748701575168,0.0429299901927159,172
440-450,0.28190021299859214,0.28190021299859214,0.04272495015665783,173
410-420,0.28186804734665727,0.28186804734665727,0.04278358567613835,174
420-430,0.2818439578731265,0.2818439578731265,0.04300144881180865,172
190-200,0.28184105505116963,0.28184105505116963,0.04285014989498326,173
220-230,0.2818382555226735,0.2818382555226735,0.04269380356777569,172
320-330,0.28165878700792835,0.28165878700792835,0.0426881606947597,173
K-301 Темп-ра в гор. зоне,0.25747299030160975,0.25747299030160975,789.2111951851977,120
Метан+этан из жидкости в Е-301,0.2177407738058708,0.2177407738058708,0.005233289380593142,102
60-70,0.17595805633966058,0.17595805633966058,0.051511223360927144,205
50-60,0.1701141190002023,0.1701141190002023,0.26142964745910735,169
н-пентан,0.1694047518853098,0.1694047518853098,7.468085211118404,128
40-50,0.15825985791520109,0.15825985791520109,0.12334864369016887,169
K-301 Температура верха,-0.14887438489715757,0.14887438489715757,34592.40090122451,391
Метан и этан в КГД,0.1333331215650968,0.1333331215650968,0.06788504485518423,259
Масса циркулирующей жидкости,0.11862974768851457,0.11862974768851457,1454.8566700467209,428
пропан,0.10808190739954565,0.10808190739954565,28.65940161509169,321
K-301 Темп-ра в хол. зоне,0.10228985256462281,0.10228985256462281,64.44931452942029,435
н-бутан,0.08204553463067862,0.08204553463067862,25.27144527656412,277
метан,-0.07881526254567722,0.07881526254567722,4.251723437868705,33
E-301 Температура,0.07509570087795435,0.07509570087795435,25872.677106500247,416
этан,-0.05808105838694972,0.05808105838694972,2.0637643848172478,32
и-пентан,0.05739455158670436,0.05739455158670436,21.810031857908566,233
90-100,0.044717245832598486,0.044717245832598486,0.09092446105131255,288
и-бутан,0.03346790229298676,0.03346790229298676,23.68784248552072,263
110-120,0.027369498666839354,0.027369498666839354,0.13760703046226969,339
K-301 Масса рефлюксной жидкости,0.025272248713672264,0.025272248713672264,6.890863734363028,345
100-110,-0.014975866890403089,0.014975866890403089,0.11826371982464595,340
