feature,variance,nunique,missing
K-301 Температура верха,34592.40090122451,391,1
E-301 Температура,25872.677106500247,416,1
Масса КГД из куба колонны,9074.681854776054,298,1
Масса циркулирующей жидкости,1454.8566700467209,428,1
K-301 Темп-ра в гор. зоне,789.2111951851977,120,1
K-301 Темп-ра в хол. зоне,64.44931452942029,435,1
Вывод балансового избытка,35.71748679706599,115,1
пропан,28.65940161509169,321,0
н-бутан,25.27144527656412,277,0
и-бутан,23.68784248552072,263,0
и-пентан,21.810031857908566,233,0
н-пентан,7.468085211118404,128,0
K-301 Масса рефлюксной жидкости,6.890863734363028,345,1
метан,4.251723437868705,33,0
этан,2.0637643848172478,32,0
50-60,0.26142964745910735,169,0
110-120,0.13760703046226969,339,0
40-50,0.12334864369016887,169,0
100-110,0.11826371982464595,340,0
90-100,0.09092446105131255,288,0
Метан и этан в КГД,0.06788504485518423,259,1
60-70,0.051511223360927144,205,0
450-460,0.043085019286375544,173,0
140-150,0.04307208836264232,174,0
170-180,0.0430663185833529,171,0
500-520,0.043019784018187804,173,0
120-130,0.04301932847995743,172,0
230-240,0.043018427973263676,173,0
420-430,0.04300144881180865,172,0
370-380,0.04299951312462887,172,0
480-500,0.042983991043213675,173,0
160-170,0.04296823688136356,173,0
150-160,0.04294760095576606,173,0
290-300,0.0429299901927159,172,0
460-480,0.0429233411263821,173,0
270-280,0.04291911016571588,171,0
240-250,0.042905222568272526,172,0
390-400,0.04289767917395672,173,0
130-140,0.042888765890853255,173,0
200-210,0.04288558153682401,172,0
350-360,0.04286831383477881,173,0
80-90,0.04286766177402626,171,0
360-370,0.04286636095085899,173,0
250-260,0.04286481978748456,173,0
400-410,0.04286363777476935,172,0
520-540,0.042851319034338586,173,0
190-200,0.04285014989498326,173,0
280-290,0.04284062539792131,172,0
340-350,0.042836682625976834,173,0
260-270,0.042835145943045855,172,0
70-80,0.042832253434996144,174,0
180-190,0.042819788246584216,172,0
430-440,0.042815031726012184,172,0
540-550,0.04280863650736949,173,0
300-310,0.042807473547362716,173,0
310-320,0.04279545144700425,171,0
410-420,0.04278358567613835,174,0
380-390,0.042745227348434084,173,0
440-450,0.04272495015665783,173,0
210-220,0.042716829506157517,171,0
220-230,0.04269380356777569,172,0
330-340,0.04269043546054066,171,0
320-330,0.0426881606947597,173,0
Метан+этан из жидкости в Е-301,0.005233289380593142,102,1
